ticker,date,dividends,currency
SIBN,2018-12-28,22.05,RUR
NLMK,2019-01-09,6.04,RUR
NMTP,2019-01-09,0.2648,RUR
TATN,2019-01-09,22.26,RUR
TATNP,2019-01-09,22.26,RUR
RTKM,2019-01-13,2.5,RUR
RTKMP,2019-01-13,2.5,RUR
PHOR,2019-02-04,72.0,RUR
HIMCP,2019-03-17,0.154,RUR
AKRN,2019-03-22,130.0,RUR
GCHE,2019-04-07,101.63,RUR
NKNC,2019-04-22,19.94,RUR
NKNCP,2019-04-22,19.94,RUR
KZOS,2019-05-06,7.792,RUR
NLMK,2019-05-06,5.8,RUR
NVTK,2019-05-06,16.81,RUR
CHMF,2019-05-07,32.08,RUR
MOEX,2019-05-14,7.7,RUR
TTLK,2019-05-14,0.01932,RUR
PLZL,2019-05-16,143.62,RUR
DSKY,2019-05-27,4.45,RUR
PRMB,2019-05-27,1000.0,RUR
IRAO,2019-05-31,0.171635536398468,RUR
TRCN,2019-06-01,480.37,RUR
MRKU,2019-06-03,0.003,RUR
PIKK,2019-06-03,22.71,RUR
PMSBP,2019-06-03,10.9,RUR
VSMO,2019-06-03,873.42,RUR
CBOM,2019-06-07,0.11,RUR
SFIN,2019-06-08,14.5,RUR
BSPB,2019-06-10,3.71,RUR
MRKC,2019-06-10,0.0207533,RUR
MRKV,2019-06-10,0.01318622,RUR
PHOR,2019-06-10,51.0,RUR
VRSB,2020-08-18,1.73642658,RUR
AKRN,2019-06-11,135.0,RUR
MAGN,2019-06-11,1.398,RUR
SBER,2019-06-13,16.0,RUR
SBERP,2019-06-13,16.0,RUR
MGNT,2019-06-14,166.78,RUR
ROSN,2019-06-17,11.33,RUR
CHMF,2019-06-18,35.43,RUR
CNTLP,2019-06-19,7.41,RUR
MRKY,2019-06-19,0.0068417020378,RUR
NLMK,2019-06-19,7.34,RUR
MAGN,2019-06-20,1.488,RUR
GMKN,2019-06-21,792.52,RUR
BANE,2019-06-24,158.95,RUR
BANEP,2019-06-24,158.95,RUR
VTBR,2019-06-24,0.00109867761463259,RUR
MRKP,2019-06-25,0.040746,RUR
MRKZ,2019-06-25,0.003985,RUR
MSRS,2019-06-25,0.059,RUR
NMTP,2019-06-25,0.5,RUR
UPRO,2019-06-25,0.111025275979,RUR
TGKA,2019-06-26,0.000644605,RUR
OGKB,2019-06-28,0.036784587,RUR
LSNGP,2019-07-01,11.1364,RUR
SIBN,2019-07-01,7.95,RUR
MSNG,2019-07-02,0.21004,RUR
RTKM,2019-07-04,2.5,RUR
RTKMP,2019-07-04,2.5,RUR
AFLT,2019-07-05,2.6877,RUR
TATN,2019-07-05,32.38,RUR
TATNP,2019-07-05,32.38,RUR
ENRU,2019-07-08,0.141471,RUR
RSTI,2019-07-08,0.02443,RUR
RSTIP,2019-07-08,0.07997,RUR
HYDR,2019-07-09,0.0367388,RUR
KRKNP,2019-07-09,1490.13,RUR
LKOH,2019-07-09,155.0,RUR
MTSS,2019-07-09,19.98,RUR
LSRG,2019-07-10,78.0,RUR
PHOR,2019-07-10,72.0,RUR
MGTSP,2019-07-11,232.0,RUR
ALRS,2019-07-15,4.11,RUR
FEES,2019-07-16,0.016042926012,RUR
AFKS,2019-07-18,0.11,RUR
GAZP,2019-07-18,16.61,RUR
MTLRP,2019-07-18,18.21,RUR
SNGS,2019-07-18,0.65,RUR
SNGSP,2019-07-18,7.62,RUR
TRNFP,2019-07-20,10705.95,RUR
CHMF,2019-09-17,26.72,RUR
TATN,2019-09-27,40.11,RUR
TATNP,2019-09-27,40.11,RUR
TRCN,2019-10-03,154.57,RUR
GCHE,2019-10-07,48.79,RUR
GMKN,2019-10-07,883.93,RUR
NLMK,2019-10-10,3.68,RUR
NVTK,2019-10-10,14.23,RUR
PLZL,2019-10-10,162.98,RUR
ROSN,2019-10-11,15.34,RUR
VSMO,2019-10-11,884.6,RUR
ALRS,2019-10-14,3.84,RUR
MTSS,2019-10-14,8.68,RUR
MAGN,2019-10-15,0.69,RUR
PHOR,2019-10-15,54.0,RUR
SIBN,2019-10-18,18.14,RUR
RASP,2019-10-20,2.5,RUR
ISKJ,2016-06-30,0.3,RUR
TRMK,2015-01-12,0.397,RUR
TRMK,2015-10-23,2.42,RUR
TRMK,2016-10-10,1.94,RUR
TRMK,2017-06-20,1.96,RUR
TRMK,2018-07-02,2.28,RUR
TRMK,2019-07-18,2.55,RUR
ORUP,2018-07-16,2.32,RUR
ORUP,2019-07-18,2.36,RUR
CHMF,2019-12-03,27.47,RUR
LKOH,2019-12-20,192.0,RUR
NLMK,2020-01-09,3.22,RUR
AKRN,2019-12-11,101.0,RUR
UPRO,2019-12-15,0.111025275979,RUR
MVID,2019-12-16,33.37,RUR
DSKY,2019-12-17,5.06,RUR
GMKN,2019-12-27,604.09,RUR
TATN,2019-12-30,24.36,RUR
TATNP,2019-12-30,24.36,RUR
MAGN,2020-01-15,1.65,RUR
MGNT,2020-01-10,147.19,RUR
MTSS,2020-01-10,13.25,RUR
FEES,2020-01-13,0.00880960765,RUR
MRKC,2020-01-13,0.0200649,RUR
MSRS,2020-01-14,0.04237,RUR
MRKV,2020-01-14,0.0053946,RUR
MRKP,2020-01-14,0.0163239,RUR
MRKZ,2020-01-14,0.0019999807,RUR
LSNG,2017-06-26,0.1331,RUR
LSNG,2018-06-19,0.1366,RUR
LSNG,2019-07-01,0.0352,RUR
SELG,2019-12-24,0.78,RUR
PHOR,2020-02-04,48.0,RUR
GTRK,2019-06-30,1.72,RUR
CHMF,2020-06-16,26.26,RUR
GCHE,2020-04-07,60.92,RUR
YAKG,2015-01-27,0.2753,RUR
YAKG,2015-06-12,0.4145,RUR
YAKG,2015-05-03,0.4086,RUR
YAKG,2015-09-10,0.4034,RUR
YAKG,2015-12-09,0.4123,RUR
YAKG,2016-05-04,0.397,RUR
YAKG,2016-12-12,0.3744,RUR
NKNCP,2020-07-10,9.07,RUR
NKNC,2020-07-10,9.07,RUR
NLMK,2020-06-09,3.12,RUR
KBTK,2015-07-11,2.5,RUR
KBTK,2017-06-05,6.0,RUR
KBTK,2018-07-06,10.0,RUR
AKRN,2020-04-14,157.0,RUR
KZOS,2020-07-10,4.5468,RUR
NVTK,2020-05-08,18.1,RUR
TTLK,2020-05-13,0.02021,RUR
SBERP,2020-10-05,18.7,RUR
LSRG,2020-05-12,30.0,RUR
MOEX,2020-05-15,7.93,RUR
DSKY,2020-07-11,3.0,RUR
IRAO,2020-06-01,0.196192528735633,RUR
KZOSP,2019-05-06,0.25,RUR
KZOSP,2020-07-10,0.25,RUR
CHEP,2017-05-10,10.05,RUR
CHEP,2018-05-10,11.56,RUR
CHEP,2019-07-09,15.38,RUR
CHEP,2020-01-09,4.37,RUR
CHEP,2020-01-09,5.45,RUR
IRGZ,2015-06-11,0.53,RUR
IRGZ,2016-06-18,0.53,RUR
LNZLP,2015-07-10,18.92,RUR
LNZLP,2016-07-11,690.15,RUR
LNZLP,2017-07-11,34.18,RUR
LNZLP,2018-07-09,8.71,RUR
LNZLP,2019-07-08,110.0,RUR
GMKN,2020-05-25,557.2,RUR
FEES,2020-05-29,0.009494338212,RUR
PHOR,2020-06-02,18.0,RUR
RASP,2020-06-08,2.83,RUR
MRKV,2020-06-09,0.00106762,RUR
SELGP,2019-06-24,2.25,RUR
SELGP,2019-12-24,2.25,RUR
KRKNP,2020-06-09,1766.52,RUR
MRKU,2020-01-14,0.0032,RUR
MRKU,2020-06-09,0.0073,RUR
MSRS,2020-06-09,0.02546,RUR
HIMCP,2019-06-16,0.142,RUR
HIMCP,2019-08-17,0.0882,RUR
HIMCP,2019-12-10,0.0882,RUR
NLMK,2020-07-13,3.21,RUR
AKRN,2020-06-09,275.0,RUR
MRKZ,2020-06-09,0.0012724293,RUR
LSNG,2020-06-11,0.0947,RUR
LSNGP,2020-06-11,13.6226,RUR
BELU,2020-06-12,32.0,RUR
CHEP,2020-06-15,8.18,RUR
ROSN,2020-06-15,18.07,RUR
RSTIP,2020-06-15,0.189304,RUR
RSTI,2020-06-15,0.0885155625,RUR
CHMF,2020-06-16,27.35,RUR
PMSBP,2020-06-17,11.710424,RUR
MAGN,2020-06-17,1.507,RUR
MGNT,2020-06-19,157.0,RUR
UPRO,2020-06-22,0.111025275979,RUR
NKHP,2019-07-09,6.96,RUR
NKHP,2020-01-15,6.36,RUR
NKHP,2020-07-27,0.96,RUR
SELG,2020-06-26,1.42,RUR
TATNP,2020-06-30,1.0,RUR
BANE,2020-07-06,107.81,RUR
BANEP,2020-07-06,107.81,RUR
PHOR,2020-07-06,78.0,RUR
TGKA,2020-07-07,0.001036523,RUR
MRKS,2019-06-24,0.00102,RUR
MRKS,2020-01-14,0.002917,RUR
SIBN,2020-06-26,19.82,RUR
MSNG,2020-07-08,0.12075,RUR
ENRU,2020-07-09,0.085,RUR
MTSS,2020-07-09,20.57,RUR
LKOH,2020-07-10,350.0,RUR
OGKB,2020-07-10,0.0544445744,RUR
ALRS,2020-07-13,2.63,RUR
CNTLP,2020-08-10,11.83,RUR
NMTP,2020-07-28,1.35,RUR
SNGSP,2020-07-20,0.97,RUR
SNGS,2020-07-20,0.65,RUR
MTLRP,2020-07-17,3.48,RUR
GAZP,2020-07-16,15.24,RUR
AFKS,2020-07-16,0.13,RUR
LNZLP,2020-07-13,13.87,RUR
RTKMP,2020-08-21,5.0,RUR
RTKM,2020-08-21,5.0,RUR
AQUA,2020-09-11,5.0,RUR
PLZL,2020-08-28,244.75,RUR
CHMF,2020-09-08,15.44,RUR
MAGN,2020-09-23,0.607,RUR
NLMK,2020-10-12,4.75,RUR
